State,City,FAA,IATA,ICAO,Airport,Role,Enplanements
Montana,Great Falls,GTF,GTF,KGTF,Great Falls International Airport,P-N,"176,730"
Alabama,Montgomery,MGM,MGM,KMGM,Montgomery Regional Airport (Dannelly Field),P-N,"173,210"
Califronia,Santa Rosa,STS,STS,KSTS,Charles M. Schulz–Sonoma County Airport,P-N,"167,151"
Colorado,Eagle/Vail,EGE,EGE,KEGE,Eagle County Regional Airport,P-N,"163,840"
Nebraska,Lincoln,LNK,LNK,KLNK,Lincoln Airport (was Lincoln Municipal),P-N,"162,876"
Califronia,San Luis Obispo,SBP,SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field),P-N,"162,719"
Michigan,Lansing,LAN,LAN,KLAN,Capital Region International Airport (was Lansing Capital City),P-N,"161,863"
Texas,Killeen,GRK,GRK,KGRK,Killeen–Fort Hood Regional Airport / Robert Gray Army Airfield,P-N,"157,161"
Alaska,Bethel,BET,BET,PABE,Bethel Airport (also see Bethel Seaplane Base),P-N,"155,791"
Michigan,Kalamazoo,AZO,AZO,KAZO,Kalamazoo/Battle Creek International Airport,P-N,"154,242"
Pennsylvania,State College,UNV,SCE,KUNV,University Park Airport,P-N,"153,737"
Pennsylvania,Latrobe,LBE,LBE,KLBE,Arnold Palmer Regional Airport,P-N,"151,704"
North Dakota,Minot,MOT,MOT,KMOT,Minot International Airport,P-N,"150,634"
North Carolina,Jacksonville,OAJ,OAJ,KOAJ,Albert J. Ellis Airport,P-N,"149,987"
Idaho,Idaho Falls,IDA,IDA,KIDA,Idaho Falls Regional Airport (Fanning Field),P-N,"146,213"
New York,Niagara Falls,IAG,IAG,KIAG,Niagara Falls International Airport,P-N,"142,605"
New York,Plattsburgh,PBG,PBG,KPBG,Plattsburgh International Airport,P-N,"139,398"
North Dakota,Grand Forks,GFK,GFK,KGFK,Grand Forks International Airport,P-N,"132,557"
Louisiana,Alexandria,AEX,AEX,KAEX,Alexandria International Airport,P-N,"129,776"
Alaska,Ketchikan,KTN,KTN,PAKT,Ketchikan International Airport,P-N,"127,881"
New York,Elmira,ELM,ELM,KELM,Elmira/Corning Regional Airport,P-N,"126,472"
Massachusetts,Nantucket,ACK,ACK,KACK,Nantucket Memorial Airport,P-N,"126,197"
Wisconsin,Mosinee,CWA,CWA,KCWA,Central Wisconsin Airport,P-N,"124,632"
Minnesota,Duluth,DLH,DLH,KDLH,Duluth International Airport,P-N,"124,284"
Michigan,Saginaw,MBS,MBS,KMBS,MBS International Airport,P-N,"122,469"
Texas,Brownsville,BRO,BRO,KBRO,Brownsville/South Padre Island International Airport,P-N,"120,151"
Colorado,Montrose,MTJ,MTJ,KMTJ,Montrose Regional Airport,P-N,"116,272"
Minnesota,Rochester,RST,RST,KRST,Rochester International Airport,P-N,"112,864"
Arizona,Bullhead City,IFP,IFP,KIFP,Laughlin/Bullhead International Airport,P-N,"109,334"
North Carolina,New Bern,EWN,EWN,KEWN,Coastal Carolina Regional Airport (was Craven County Regional),P-N,"106,110"
Puerto Rico,Ponce,PSE,PSE,TJPS,Mercedita International Airport,P-N,"105,804"
Montana,Helena,HLN,HLN,KHLN,Helena Regional Airport,P-N,"103,239"
Ohio,Columbus,LCK,LCK,KLCK,Rickenbacker International Airport,P-N,"102,751"
Louisiana,Monroe,MLU,MLU,KMLU,Monroe Regional Airport,P-N,"102,342"
Illinois,Rockford,RFD,RFD,KRFD,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),P-N,"101,790"
Texas,Laredo,LRD,LRD,KLRD,Laredo International Airport,P-N,"101,115"
Califronia,Bakersfield,BFL,BFL,KBFL,Meadows Field,P-N,"100,433"
Wisconsin,La Crosse,LSE,LSE,KLSE,La Crosse Regional Airport,P-N,"99,651"
West Virginia,Huntington,HTS,HTS,KHTS,Tri-State Airport (Milton J. Ferguson Field),P-N,"98,489"
New York,Ithaca,ITH,ITH,KITH,Ithaca Tompkins International Airport,P-N,"97,212"
Pennsylvania,Erie,ERI,ERI,KERI,Erie International Airport (Tom Ridge Field),P-N,"95,924"
Illinois,Springfield,SPI,SPI,KSPI,Abraham Lincoln Capital Airport,P-N,"93,269"
Califronia,Stockton,SCK,SCK,KSCK,Stockton Metropolitan Airport,P-N,"93,076"
Hawaii,"Kaunakakai, Molokai",MKK,MKK,PHMK,Molokai Airport,P-N,"92,560"
Ohio,Toledo,TOL,TOL,KTOL,Toledo Express Airport,P-N,"92,522"
Alaska,Kenai,ENA,ENA,PAEN,Kenai Municipal Airport,P-N,"92,485"
North Carolina,Concord,JQF,USA,KJQF,Concord Regional Airport,P-N,"90,338"
Illinois,Champaign (Savoy),CMI,CMI,KCMI,University of Illinois - Willard Airport,P-N,"89,318"
Wyoming,Casper,CPR,CPR,KCPR,Casper–Natrona County International Airport,P-N,"86,905"
Texas,Abilene,ABI,ABI,KABI,Abilene Regional Airport,P-N,"84,809"
Arkansas,Fort Smith,FSM,FSM,KFSM,Fort Smith Regional Airport,P-N,"83,920"
Alaska,Sitka,SIT,SIT,PASI,Sitka Rocky Gutierrez Airport,P-N,"83,404"
Illinois,Belleville,BLV,BLV,KBLV,MidAmerica St. Louis Airport / Scott Air Force Base,P-N,"79,988"
Alaska,Kodiak,ADQ,ADQ,PADQ,Kodiak Airport,P-N,"79,682"
Texas,College Station,CLL,CLL,KCLL,Easterwood Airport (Easterwood Field),P-N,"78,907"
Utah,St. George,SGU,SGU,KSGU,St. George Regional Airport (opened 2011),P-N,"78,680"
Utah,Provo,PVU,PVU,KPVU,Provo Municipal Airport,P-N,"78,451"
Idaho,Sun Valley,SUN,SUN,KSUN,Friedman Memorial Airport,P-N,"77,729"
Virginia,Lynchburg,LYH,LYH,KLYH,Lynchburg Regional Airport (Preston Glenn Field),P-N,"75,465"
Arizona,Yuma,NYL,YUM,KNYL,Yuma International Airport / MCAS Yuma,P-N,"74,742"
New Hampshire,Portsmouth,PSM,PSM,KPSM,Portsmouth International Airport at Pease,P-N,"73,247"
Idaho,Lewiston,LWS,LWS,KLWS,Lewiston–Nez Perce County Airport,P-N,"72,724"
New Mexico,Santa Fe,SAF,SAF,KSAF,Santa Fe Regional Airport,P-N,"71,252"
Washington,Yakima,YKM,YKM,KYKM,Yakima Air Terminal (McAllister Field),P-N,"70,993"
Califronia,Arcata/Eureka,ACV,ACV,KACV,Arcata Airport,P-N,"69,732"
Nebraska,Grand Island,GRI,GRI,KGRI,Central Nebraska Regional Airport,P-N,"68,879"
North Dakota,Williston,XWA,XWA,KXWA,Williston Basin International Airport,P-N,"68,829"
American Samoa,"Pago Pago, Tutuila",PPG,PPG,NSTU,Pago Pago International Airport,P-N,"65,439"
Missouri,Columbia,COU,COU,KCOU,Columbia Regional Airport,P-N,"65,014"
Arizona,Flagstaff,FLG,FLG,KFLG,Flagstaff Pulliam Airport,P-N,"64,578"
Alaska,Kotzebue,OTZ,OTZ,PAOT,Ralph Wien Memorial Airport,P-N,"64,481"
Maine,Salisbury,SBY,SBY,KSBY,Salisbury–Ocean City–Wicomico Regional Airport,P-N,"64,393"
Texas,Waco,ACT,ACT,KACT,Waco Regional Airport,P-N,"64,356"
Kansas,Manhattan,MHK,MHK,KMHK,Manhattan Regional Airport,P-N,"63,761"
Puerto Rico,Vieques,VQS,VQS,TJVQ,Antonio Rivera Rodríguez Airport,P-N,"63,104"
Washington,"Pullman / Moscow, Idaho",PUW,PUW,KPUW,Pullman/Moscow Regional Airport,P-N,"61,833"
Alaska,Nome,OME,OME,PAOM,Nome Airport,P-N,"60,655"
Texas,San Angelo,SJT,SJT,KSJT,San Angelo Regional Airport (Mathis Field),P-N,"60,277"
Washington,Wenatchee,EAT,EAT,KEAT,Pangborn Memorial Airport,P-N,"60,068"
Massachusetts,Worcester,ORH,ORH,KORH,Worcester Regional Airport,P-N,"57,800"
Massachusetts,Vineyard Haven,MVY,MVY,KMVY,Martha's Vineyard Airport,P-N,"54,084"
Louisiana,Lake Charles,LCH,LCH,KLCH,Lake Charles Regional Airport,P-N,"53,576"
Texas,Tyler,TYR,TYR,KTYR,Tyler Pounds Regional Airport,P-N,"52,494"
Alaska,Deadhorse,SCC,SCC,PASC,Deadhorse Airport (Prudhoe Bay Airport),P-N,"51,205"
Oklahoma,Lawton,LAW,LAW,KLAW,Lawton–Fort Sill Regional Airport,P-N,"51,088"
Alabama,Dothan,DHN,DHN,KDHN,Dothan Regional Airport,P-N,"49,411"
North Carolina,Greenville,PGV,PGV,KPGV,Pitt–Greenville Airport,P-N,"47,457"
Washington,Walla Walla,ALW,ALW,KALW,Walla Walla Regional Airport,P-N,"47,439"
Michigan,Marquette,SAW,MQT,KSAW,Sawyer International Airport,P-N,"45,462"
Alaska,Utqiagvik,BRW,BRW,PABR,Wiley Post–Will Rogers Memorial Airport,P-N,"45,300"
South Carolina,Florence,FLO,FLO,KFLO,Florence Regional Airport,P-N,"45,300"
Georgia,Columbus,CSG,CSG,KCSG,Columbus Metropolitan Airport,P-N,"44,813"
New Mexico,Roswell,ROW,ROW,KROW,Roswell International Air Center,P-N,"44,378"
Alaska,Homer,HOM,HOM,PAHO,Homer Airport,P-N,"44,117"
Califronia,Redding,RDD,RDD,KRDD,Redding Municipal Airport,P-N,"43,414"
Hawaii,"Lanai City, Lanai",LNY,LNY,PHNY,Lanai Airport,P-N,"43,275"
Puerto Rico,Ceiba,RVR,NRR,TJRV,José Aponte de la Torre Airport,P-N,"43,005"
Mississippi,Columbus,GTR,GTR,KGTR,Golden Triangle Regional Airport,P-N,"40,823"
Georgia,Valdosta,VLD,VLD,KVLD,Valdosta Regional Airport,P-N,"40,275"
Texas,Wichita Falls,SPS,SPS,KSPS,Wichita Falls Regional Airport / Sheppard Air Force Base,P-N,"40,165"
Califronia,Santa Maria,SMX,SMX,KSMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),P-N,"40,120"
Wyoming,Cody,COD,COD,KCOD,Yellowstone Regional Airport,P-N,"39,407"
Idaho,Twin Falls,TWF,TWF,KTWF,Magic Valley Regional Airport (Joslin Field),P-N,"38,869"
Northern Marianas,Tinian Island,TNI,TIQ,PGWT,Tinian International Airport (West Tinian),P-N,"38,452"
Iowa,Dubuque,DBQ,DBQ,KDBQ,Dubuque Regional Airport,P-N,"37,954"
Alaska,King Salmon,AKN,AKN,PAKN,King Salmon Airport,P-N,"36,717"
Iowa,Sioux City,SUX,SUX,KSUX,Sioux Gateway Airport (Col. Bud Day Field),P-N,"36,413"
Georgia,Brunswick,BQK,BQK,KBQK,Brunswick Golden Isles Airport,P-N,"36,054"
Colorado,Hayden,HDN,HDN,KHDN,Yampa Valley Airport (Yampa Valley Regional),P-N,"34,979"
Idaho,Pocatello,PIH,PIH,KPIH,Pocatello Regional Airport,P-N,"34,462"
Georgia,Albany,ABY,ABY,KABY,Southwest Georgia Regional Airport,P-N,"34,226"
Alaska,Dillingham,DLG,DLG,PADL,Dillingham Airport,P-N,"33,616"
Arkansas,Texarkana,TXK,TXK,KTXK,Texarkana Regional Airport (Webb Field),P-N,"33,565"
New York,Binghamton,BGM,BGM,KBGM,Greater Binghamton Airport (Edwin A. Link Field),P-N,"33,425"
Puerto Rico,Culebra,CPX,CPX,TJCP,Benjamín Rivera Noriega Airport,P-N,"31,141"
Alaska,Unalaska,DUT,DUT,PADU,Unalaska Airport (Tom Madsen Airport),P-N,"31,055"
Massachusetts,Hyannis,HYA,HYA,KHYA,Barnstable Municipal Airport (Boardman/Polando Field),P-N,"31,027"
South Carolina,Hilton Head,HXD,HHH,KHXD,Hilton Head Airport,P-N,"30,956"
Colorado,Gunnison,GUC,GUC,KGUC,Gunnison–Crested Butte Regional Airport,P-N,"30,780"
Missouri,Joplin,JLN,JLN,KJLN,Joplin Regional Airport,P-N,"27,930"
Connecticut,New Haven,HVN,HVN,KHVN,Tweed New Haven Regional Airport,P-N,"27,911"
Wyoming,Gillette,GCC,GCC,KGCC,Gillette–Campbell County Airport,P-N,"27,136"
Iowa,Waterloo,ALO,ALO,KALO,Waterloo Regional Airport,P-N,"27,069"
Kansas,Garden City,GCK,GCK,KGCK,Garden City Regional Airport,P-N,"26,825"
South Dakota,Aberdeen,ABR,ABR,KABR,Aberdeen Regional Airport,P-N,"26,529"
Texas,Beaumont,BPT,BPT,KBPT,Jack Brooks Regional Airport (was Southeast Texas Regional),P-N,"26,518"
Mississippi,Meridian,MEI,MEI,KMEI,Meridian Regional Airport (Key Field),P-N,"26,359"
West Virginia,Clarksburg,CKB,CKB,KCKB,North Central West Virginia Airport (was Harrison-Marion Regional),P-N,"26,025"
Montana,Butte,BTM,BTM,KBTM,Bert Mooney Airport,P-N,"25,890"
Minnesota,Bemidji,BJI,BJI,KBJI,Bemidji Regional Airport,P-N,"25,510"
Michigan,Pellston,PLN,PLN,KPLN,Pellston Regional Airport,P-N,"25,497"
Michigan,Hancock,CMX,CMX,KCMX,Houghton County Memorial Airport,P-N,"25,439"
Wisconsin,Rhinelander,RHI,RHI,KRHI,Rhinelander–Oneida County Airport,P-N,"24,477"
Puerto Rico,San Juan / Miramar,SIG,SIG,TJIG,Fernando Luis Ribas Dominicci Airport (Isla Grande Airport),P-N,"24,054"
Wisconsin,Eau Claire,EAU,EAU,KEAU,Chippewa Valley Regional Airport,P-N,"23,950"
Maine,Hagerstown,HGR,HGR,KHGR,Hagerstown Regional Airport (Richard A. Henson Field),P-N,"23,654"
Kentucky,Owensboro,OWB,OWB,KOWB,Owensboro–Daviess County Regional Airport,P-N,"23,537"
Alaska,Anchorage,LHD,,PALH,Lake Hood Seaplane Base (also see Lake Hood Airstrip),P-N,"23,382"
Wyoming,Rock Springs,RKS,RKS,KRKS,Southwest Wyoming Regional Airport (Rock Springs–Sweetwater County Airport),P-N,"23,020"
New York,Watertown,ART,ART,KART,Watertown International Airport,P-N,"22,785"
Pennsylvania,Williamsport,IPT,IPT,KIPT,Williamsport Regional Airport,P-N,"22,547"
Texas,Longview,GGG,GGG,KGGG,East Texas Regional Airport,P-N,"22,480"
Alaska,Petersburg,PSG,PSG,PAPG,Petersburg James A. Johnson Airport,P-N,"21,896"
Califronia,Mammoth Lakes,MMH,MMH,KMMH,Mammoth Yosemite Airport,P-N [nb 1],"21,826"
Michigan,Sault Ste. Marie,CIU,CIU,KCIU,Chippewa County International Airport,P-N,"20,974"
Kentucky,Paducah,PAH,PAH,KPAH,Barkley Regional Airport,P-N,"20,266"
Northern Marianas,Rota Island,GRO,ROP,PGRO,Rota International Airport,P-N,"19,178"
Alaska,Anchorage,MRI,MRI,PAMR,Merrill Field,P-N,"19,144"
Alaska,Cordova,CDV,CDV,PACV,Merle K. (Mudhole) Smith Airport,P-N,"18,649"
Minnesota,Brainerd,BRD,BRD,KBRD,Brainerd Lakes Regional Airport,P-N,"18,200"
Michigan,Muskegon,MKG,MKG,KMKG,Muskegon County Airport,P-N,"18,165"
Washington,Seattle,BFI,BFI,KBFI,King County International Airport (Boeing Field),P-N,"17,795"
Arizona,Page,PGA,PGA,KPGA,Page Municipal Airport,P-N,"17,435"
Rhode Island,Block Island,BID,BID,KBID,Block Island State Airport,P-N,"17,225"
Rhode Island,Westerly,WST,WST,KWST,Westerly State Airport,P-N,"17,218"
Wyoming,Laramie,LAR,LAR,KLAR,Laramie Regional Airport,P-N,"17,188"
Alaska,Unalakleet,UNK,UNK,PAUN,Unalakleet Airport,P-N,"16,948"
Michigan,Escanaba,ESC,ESC,KESC,Delta County Airport,P-N,"16,822"
North Dakota,Dickinson,DIK,DIK,KDIK,Dickinson Theodore Roosevelt Regional Airport,P-N,"16,822"
Maine,Rockland,RKD,RKD,KRKD,Knox County Regional Airport,P-N,"16,206"
Minnesota,St. Cloud,STC,STC,KSTC,St. Cloud Regional Airport,P-N,"15,615"
Utah,Ogden,OGD,OGD,KOGD,Ogden-Hinckley Airport,P-N,"15,609"
Massachusetts,Bedford,BED,BED,KBED,Hanscom Field / Hanscom Air Force Base,P-N,"15,105"
Nevada,Elko,EKO,EKO,KEKO,Elko Regional Airport (J.C. Harris Field),P-N,"14,893"
Oregon,North Bend,OTH,OTH,KOTH,Southwest Oregon Regional Airport (was North Bend Municipal),P-N,"14,719"
New Mexico,Hobbs,HOB,HOB,KHOB,Lea County Regional Airport,P-N,"14,707"
Utah,Cedar City,CDC,CDC,KCDC,Cedar City Regional Airport,P-N,"14,413"
Minnesota,International Falls,INL,INL,KINL,Falls International Airport,P-N,"13,831"
Alaska,Aniak,ANI,ANI,PANI,Aniak Airport,P-N,"13,688"
Wyoming,Sheridan,SHR,SHR,KSHR,Sheridan County Airport,P-N,"13,182"
Alaska,St. Mary's,KSM,KSM,PASM,St. Mary's Airport,P-N,"12,851"
Washington,Friday Harbor,FHR,FRD,KFHR,Friday Harbor Airport,P-N,"12,831"
Minnesota,Hibbing,HIB,HIB,KHIB,Range Regional Airport (was Chisholm–Hibbing Airport),P-N,"12,654"
Alaska,Valdez,VDZ,VDZ,PAVD,Valdez Airport (Pioneer Field),P-N,"12,631"
Michigan,Iron Mountain,IMT,IMT,KIMT,Ford Airport,P-N,"12,604"
Alaska,Wrangell,WRG,WRG,PAWG,Wrangell Airport (also see Wrangell Seaplane Base),P-N,"12,569"
Maine,Presque Isle,PQI,PQI,KPQI,Presque Isle International Airport,P-N,"12,526"
Wyoming,Riverton,RIW,RIW,KRIW,Central Wyoming Regional Airport (was Riverton Regional),P-N,"11,811"
Alaska,Gustavus,GST,GST,PAGS,Gustavus Airport,P-N,"11,438"
Alaska,Yakutat,YAK,YAK,PAYA,Yakutat Airport (also see Yakutat Seaplane Base),P-N,"10,756"
Alaska,Klawock,AKW,KLW,PAKW,Klawock Airport (also see Klawock Seaplane Base),P-N,"10,628"
Oklahoma,Stillwater,SWO,SWO,KSWO,Stillwater Regional Airport,P-N,"10,362"
New York,Ogdensburg,OGS,OGS,KOGS,Ogdensburg International Airport,P-N,"10,281"
New Hampshire,Lebanon,LEB,LEB,KLEB,Lebanon Municipal Airport,P-N,"10,245"
Massachusetts,Provincetown,PVC,PVC,KPVC,Provincetown Municipal Airport,P-N,"10,074"
Illinois,Marion,MWA,MWA,KMWA,Veterans Airport of Southern Illinois (Williamson County Regional Airport),P-N,"10,044"
Michigan,Alpena,APN,APN,KAPN,Alpena County Regional Airport,P-N,"10,031"
Montana,West Yellowstone,WYS,WYS,KWYS,Yellowstone Airport,P-N,"8,525"
Kansas,Hays,HYS,HYS,KHYS,Hays Regional Airport,P-N,"8,265"
South Dakota,Pierre,PIR,PIR,KPIR,Pierre Regional Airport,P-N,"8,246"
Montana,Sidney,SDY,SDY,KSDY,Sidney–Richland Municipal Airport,P-N,"8,065"
North Dakota,Jamestown,JMS,JMS,KJMS,Jamestown Regional Airport,P-N,"7,941"
Illinois,Quincy,UIN,UIN,KUIN,Quincy Regional Airport (Baldwin Field),P-N,"7,847"
Utah,Moab,CNY,CNY,KCNY,Canyonlands Field,P-N,"7,837"
Washington,Eastsound,ORS,ESD,KORS,Orcas Island Airport,P-N,"7,826"
Mississippi,Tupelo,TUP,TUP,KTUP,Tupelo Regional Airport (C.D. Lemons Field),P-N,"7,539"
Virginia,Staunton / Waynesboro / Harrisonburg,SHD,SHD,KSHD,Shenandoah Valley Regional Airport,P-N,"5,442"
West Virginia,Lewisburg,LWB,LWB,KLWB,Greenbrier Valley Airport,P-N,"4,965"
Florida,Vero Beach,VRB,VRB,KVRB,Vero Beach Regional Airport,P-N,"4,581"
Nebraska,Scottsbluff,BFF,BFF,KBFF,Western Nebraska Regional Airport (William B. Heilig Field),P-N,"4,262"
Nebraska,North Platte,LBF,LBF,KLBF,North Platte Regional Airport (Lee Bird Field),P-N,"4,075"
Utah,Vernal,VEL,VEL,KVEL,Vernal Regional Airport (was Vernal-Uintah Co. Airport),P-N,"4,007"
Kansas,Salina,SLN,SLN,KSLN,Salina Regional Airport,P-N,"3,967"
Colorado,Pueblo,PUB,PUB,KPUB,Pueblo Memorial Airport,P-N,"3,965"
Arizona,Prescott,PRC,PRC,KPRC,Prescott Municipal Airport (Ernest A. Love Field),P-N,"3,451"
South Dakota,Watertown,ATY,ATY,KATY,Watertown Regional Airport,P-N,"2,117"
Georgia,Macon,MCN,MCN,KMCN,Middle Georgia Regional Airport,P-N,860
Califronia,Concord,CCR,CCR,KCCR,Buchanan Field Airport,P-N,67
Maine,MARYLAND,,,,,,
